state_fips,place_fips5,name,homeown,share65,frac,medinc,pop
01,74304,"Sweet Water town, Alabama",0.9739,0.1169,0.0506,70313,385
01,36592,"Huguley CDP, Alabama",0.8010,0.2489,0.4433,41889,2583
01,31348,"Grayson Valley CDP, Alabama",0.7079,0.1648,0.5575,52328,6209
01,31384,"Graysville city, Alabama",0.8235,0.2468,0.4560,39448,1864
01,36448,"Hueytown city, Alabama",0.6785,0.1668,0.5004,51519,15540
01,76680,"Trafford town, Alabama",0.7095,0.2256,0.2772,31161,594
01,63984,"Reece City town, Alabama",0.8214,0.2865,0.3181,51000,719
01,27520,"Fort Deposit town, Alabama",0.5752,0.0687,0.2601,34107,1835
01,76632,"Toxey town, Alabama",0.8800,0.3303,0.3535,21250,109
01,01660,"Altoona town, Alabama",0.5375,0.1665,0.0900,32000,883
01,05692,"Benton town, Alabama",0.7692,0.1034,0.0000,101458,29
01,51520,"Mosses town, Alabama",0.5477,0.1087,0.0047,24410,846
01,56472,"Ohatchee town, Alabama",0.8396,0.2064,0.0958,53277,1410
01,67608,"Saks CDP, Alabama",0.7993,0.1811,0.5134,39336,10645
01,53856,"New Brockton town, Alabama",0.6437,0.2129,0.4632,51625,1146
01,45904,"Madrid town, Alabama",0.8034,0.1198,0.3187,58750,334
01,55992,"Oakman town, Alabama",0.6014,0.1787,0.3867,19500,638
01,74424,"Sylvan Springs town, Alabama",0.9302,0.1873,0.2337,70368,1890
01,07000,"Birmingham city, Alabama",0.4487,0.1491,0.4570,37375,212297
01,34024,"Helena city, Alabama",0.9333,0.1307,0.4053,87781,18463
01,35896,"Hoover city, Alabama",0.6946,0.1547,0.4960,89452,85175
01,48376,"Midfield city, Alabama",0.5876,0.1282,0.3599,38750,5085
01,78552,"Vestavia Hills city, Alabama",0.7828,0.1668,0.2372,109485,34307
01,01708,"Andalusia city, Alabama",0.5986,0.1778,0.4544,37708,8772
01,36088,"Horn Hill town, Alabama",0.9062,0.2107,0.0164,34500,242
01,57024,"Onycha town, Alabama",0.5278,0.1216,0.1260,16250,74
01,63768,"Red Level town, Alabama",0.8050,0.1532,0.2143,47321,385
01,05932,"Berry town, Alabama",0.7382,0.1197,0.2786,45375,1345
01,05164,"Belk town, Alabama",0.8617,0.3613,0.0000,39583,238
01,01852,"Anniston city, Alabama",0.5730,0.2011,0.5623,36051,21688
01,03004,"Atmore city, Alabama",0.5523,0.1666,0.5134,26118,9495
01,43264,"Lineville city, Alabama",0.4872,0.2007,0.5393,34099,2332
01,33976,"Heflin city, Alabama",0.5530,0.2290,0.1757,26786,3437
01,00676,"Akron town, Alabama",0.7845,0.1238,0.3820,25192,315
01,51648,"Moundville town, Alabama",0.7295,0.1226,0.5239,53854,3017
01,32416,"Guntersville city, Alabama",0.5981,0.2030,0.3116,45198,8468
01,61536,"Pollard town, Alabama",0.8158,0.1111,0.6167,36250,126
01,30880,"Goshen town, Alabama",0.7468,0.2545,0.5421,33309,224
01,04660,"Bay Minette city, Alabama",0.5569,0.1677,0.5213,38971,9169
01,23320,"Elberta town, Alabama",0.6037,0.2586,0.1422,40278,1709
01,57144,"Orange Beach city, Alabama",0.7020,0.3351,0.0403,81883,6019
01,69840,"Shiloh town, Alabama",0.8175,0.1509,0.1370,46458,338
01,57648,"Ozark city, Alabama",0.6150,0.2222,0.5460,41027,14413
01,30448,"Goldville town, Alabama",0.7692,0.3077,0.0740,,52
01,80256,"Waverly town, Alabama",0.7872,0.2235,0.0111,61250,179
01,78204,"Valley city, Alabama",0.4967,0.1429,0.5309,47747,9286
01,64920,"Riverside city, Alabama",0.6879,0.0970,0.3869,58517,3042
01,30496,"Good Hope city, Alabama",0.7077,0.1347,0.3756,49761,2620
01,39856,"Kimberly city, Alabama",0.9084,0.1025,0.1965,82647,3444
01,17704,"Cottondale CDP, Alabama",0.6952,0.1100,0.5803,55603,3136
01,51096,"Moody city, Alabama",0.8103,0.1470,0.2251,63607,12840
01,69120,"Selma city, Alabama",0.4518,0.1678,0.3062,27030,18276
01,57696,"Paint Rock town, Alabama",0.7639,0.1800,0.1134,35000,200
01,33640,"Hayden town, Alabama",0.8822,0.2042,0.0859,57448,1244
01,45640,"McMullen town, Alabama",1.0000,0.5714,0.0000,20000,7
01,75936,"Thomaston town, Alabama",0.8698,0.1105,0.4707,38125,380
01,04900,"Beatrice town, Alabama",0.8144,0.2262,0.3784,28750,221
01,12760,"Cedar Bluff town, Alabama",0.6963,0.2311,0.2620,32000,1999
01,77880,"Union Springs city, Alabama",0.5277,0.1497,0.1478,22290,3514
01,16600,"Collinsville town, Alabama",0.4920,0.1596,0.6039,32303,2212
01,74352,"Sylacauga city, Alabama",0.5586,0.1669,0.4973,36068,12226
01,42352,"Lester town, Alabama",0.8000,0.1401,0.1551,42083,157
01,32080,"Grove Hill town, Alabama",0.6801,0.2637,0.4700,47626,1839
01,33856,"Headland city, Alabama",0.9040,0.1567,0.4490,62140,4665
