measure_class,dor_code,municipality,fiscal_year,vote_date,description,department,amount,result,votes_yes,votes_no
debt_exclusion,059,Chester,1997,1985-05-01,Highway,Public Works and Facilities,,Pass,159,111
debt_exclusion,077,Douglas,1999,1985-05-01,Schools,School,,Pass,763,269
debt_exclusion,162,Lunenburg,1990,1985-05-01,Elementary School,School,,Pass,718,583
debt_exclusion,172,Mashpee,2001,1985-05-01,Fire,Public Safety,,Pass,298,289
debt_exclusion,224,Orleans,1990,1985-05-01,Land Acquis./Kline Property,General Government,,Pass,950,359
debt_exclusion,269,Sherborn,1990,1985-05-01,Multiple,General Operating,,Pass,884,278
debt_exclusion,286,Stow,1990,1985-05-01,Traffic,Public Safety,,Pass,642,312
debt_exclusion,286,Stow,1991,1985-05-01,Land,General Government,,Pass,520,423
debt_exclusion,301,Tyngsborough,1990,1985-05-01,School Roof,School,,Pass,916,812
debt_exclusion,333,Weston,1990,1985-05-01,Computer,General Government,,Pass,1338,481
debt_exclusion,333,Weston,1990,1985-05-01,Ath.Lan/Athl.Facilities,Culture and Recreation,,Pass,1102,705
debt_exclusion,126,Harwich,1990,1985-06-01,Highway,Public Works and Facilities,,Pass,743,503
debt_exclusion,126,Harwich,1993,1985-06-01,Land,Public Works and Facilities,,Pass,882,369
debt_exclusion,272,Shutesbury,1990,1985-06-01,Pre-Debt,Pre-Proposition 2 1/2 Debt,,Pass,214,86
debt_exclusion,018,Avon,1992,1985-07-01,Water,Public Works and Facilities,,Pass,310,56
debt_exclusion,021,Barre,1995,1985-07-01,Sewers,Public Works and Facilities,,Pass,860,390
debt_exclusion,145,Kingston,1992,1985-07-01,Sewers,Public Works and Facilities,,Pass,294,126
debt_exclusion,345,Windsor,1990,1985-07-01,Fire,Public Safety,,Pass,130,24
debt_exclusion,296,Tisbury,1990,1985-08-01,Schools,School,,Pass,299,108
debt_exclusion,296,Tisbury,1990,1985-08-01,Land Ac,General Government,,Pass,303,105
debt_exclusion,296,Tisbury,1991,1985-08-01,Dump,Public Works and Facilities,,Pass,276,128
debt_exclusion,296,Tisbury,1991,1985-08-01,Fire,Public Works and Facilities,,Pass,253,154
