Election Date,Agency Name,County,Election Type,Measure Name,Type of Tax/Debt,Amount of Bond/Tax,% Yes,% No,Threshold Value,Election Result,Purpose
06/02/2026 00:00:00,Bellevue Union School District,Sonoma,Primary,C,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Authorizing a parcel tax for four years at $49 per parcel, raising approximately $350,000 annually.",55.00,45.00,Two-thirds,Fail,K-12 School Facility
06/02/2026 00:00:00,Fallen Leaf Lake Community Services District,El Dorado,Primary,E,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Renewing the Fire Special Tax, originally voter-approved on July 27, 2014, and set annually by the CSD Board, subject to a maximum inflation adjustment of the lesser of 1.5% per year or the U.S. Bureau of Labor's Consumer Price Index on June 30th of the previous fiscal year, established as: Unimproved 0.5 unit ($330.00); improved 1.0 unit ($660); SSA Sierra Programs LLC (40 units), annual revenue raised of $212,800.",86.84,13.16,Two-thirds,Pass,"Fire, Police Protection/Emergency Medical"
06/02/2026 00:00:00,Muir Beach Community Services District,Marin,Primary,M,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Annual $386.00 parcel tax for 10 years, with the amount of $61,374 to be raised annually, and with annual CPI adjustment.",89.19,10.81,Two-thirds,Pass,"Fire, Police Protection/Emergency Medical"
06/02/2026 00:00:00,Sonoma Marin Area Rail Transit,Sonoma; Marin,Primary,B,"Tax (Levy, Parcel, Sales, Fee)",Sales tax: Measure B renewed the 0.25% sales and use tax for 30 years.[1] The tax would renew beginning in 2029 and run until 2059.,71.99,28.01,Majority,Pass,Public Transit
06/02/2026 00:00:00,El Dorado County Library Service Area 10,El Dorado,Primary,C,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: $124,000 annually, subject to annual inflation adjustment not to exceed 3%, for a period of twenty years beginning July 1, 2027 and continuing until June 30, 2048.",71.36,28.64,Two-thirds,Pass,Public Building
06/02/2026 00:00:00,El Dorado County CSA No 10 Library Zone F,El Dorado,Primary,B,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax:  $25.50 per year per parcel of real property within CSA No. 10 South Lake Tahoe Library Zone of Benefit (Zone F), raising $580,000 annually.",75.45,24.55,Two-thirds,Pass,Public Building
06/02/2026 00:00:00,Brisbane School District,San Mateo,Primary,B,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Extending the District's existing local school parcel tax, at the current rate of $166 per year, for eight years, exempting senior citizens, no funds for administrators' salaries, raising approximately $535,000 annually.",71.73,28.27,Two-thirds,Pass,K-12 School Facility
06/02/2026 00:00:00,Weed Union Elementary School District,Siskiyou,Primary,F,General Obligation Bond,"$4,900,000",55.05,44.95,55%,Pass,K-12 School Facility
06/02/2026 00:00:00,Weed Union Elementary School District,Siskiyou,Primary,E,General Obligation Bond,"$4,900,000",56.81,43.19,55%,Pass,K-12 School Facility
06/02/2026 00:00:00,Santa Clara Valley Open Space Authority,Santa Clara,Primary,D,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Annual parcel tax of $0.02 per square foot of building area, generating approximately $17,000,000 annually.",55.33,44.67,Majority,Pass,"Parks, Open Space"
